battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_54,1593137108,standard,12,fixed,5,1,0,1,2866.1,2050.2,815.9,221.1,115.2,203,125,24,0,0,0,0,1,0,0,0,0,6,6,6,11,0,0,84,496.2,1.52,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_55,1593147081,standard,12,fixed,5,1,0,1,2283.6,1381.0,902.6,148.6,760.0,125,54,0,25,0,2,2,0,0,0,0,28,24,24,23,28,0,0,84,988.6,3.02,2,3,1,3,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_56,1593157054,standard,12,fixed,5,1,0,1,515.0,-5602.6,6117.6,530.0,144.4,89,57,76,270,1,0,0,0,0,1,10,0,23,22,22,24,0,0,84,754.4,2.30,3,2,6,1,0,0,,0,1,0,0,1,0,0,0.0,0.0
baseline,baseline_57,1593167027,standard,12,fixed,5,1,0,2,-2300.0,-1375.0,-925.0,0.0,150.0,125,32,200,111,0,0,4,0,0,0,10,10,52,26,25,32,1,0,84,300.0,0.92,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_58,1593177000,standard,12,fixed,5,1,0,2,1084.1,2055.0,-970.9,309.1,150.0,61,127,8,0,0,0,1,2,0,0,0,10,1,1,0,39,0,0,84,539.1,1.65,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_59,1593186973,standard,12,fixed,5,1,0,1,1086.1,885.0,201.1,309.1,380.0,45,43,0,10,0,0,10,0,1,0,0,10,5,5,4,64,0,0,84,849.1,2.59,2,3,1,1,0,0,,4,0,1,0,0,0,1,0.0,0.0
baseline,baseline_60,1593196946,standard,12,fixed,5,1,0,2,442.0,2157.8,-1715.8,230.0,112.8,39,127,27,0,54,0,0,2,0,0,11,0,12,11,11,11,0,0,84,572.8,1.75,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_61,1593206919,standard,12,fixed,5,1,0,2,894.1,2071.8,-1177.8,309.1,136.8,45,127,6,0,0,0,0,0,0,0,0,0,1,1,0,52,0,0,84,525.9,1.61,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_62,1593216892,standard,12,fixed,5,1,0,1,2038.1,1969.6,68.4,133.1,0.0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,262.4,0.80,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_63,1593226865,standard,12,fixed,5,1,0,1,860.0,-3632.5,4492.5,310.0,309.5,171,45,111,189,0,0,0,1,0,0,10,4,25,24,24,27,0,0,84,939.5,2.87,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
